id;or_date;qty_ordered;qty_recieved;manufacturing_date;expiry_date;qty_approved;qty_rejected
1;2023-10-13T01:48:33;3891;18270;2023-10-13T07:13:22;2023-10-12T09:20:34;56033;27238
2;2023-10-12T22:24:38;50924;98002;2023-10-13T03:15:02;2023-10-12T19:41:28;40807;16534
3;2023-10-12T23:55:14;45523;45104;2023-10-13T06:12:15;2023-10-13T02:10:32;74604;68409
4;2023-10-12T13:28:42;8422;25894;2023-10-13T00:22:49;2023-10-12T10:01:56;14961;52123
5;2023-10-13T03:44:03;98634;45785;2023-10-12T13:02:46;2023-10-12T21:27:18;63689;57681
6;2023-10-13T08:40:42;67287;38065;2023-10-12T11:36:46;2023-10-12T22:15:50;83477;58307
7;2023-10-12T12:26:37;4388;29320;2023-10-12T14:38:06;2023-10-13T03:56:08;61962;66525
8;2023-10-12T20:38:52;2081;85539;2023-10-13T07:32:08;2023-10-13T01:40:55;95779;8269
9;2023-10-13T06:11:18;30557;80467;2023-10-13T00:39:45;2023-10-12T11:41:26;76898;32409
10;2023-10-12T11:17:27;11718;6192;2023-10-12T18:27:05;2023-10-12T10:25:34;23803;28013
