id;reference_number;total_po_amount;total_gst_amount;po_date;expected_delivery_date;order_status
1;Proactive granular Optional;84575;28823;2023-10-12T19:43:11;2023-10-12T15:11:15;REQUESTED
2;moderator exuding Automotive;32597;66630;2023-10-12T14:12:43;2023-10-13T03:40:03;CANCELED
3;Versatile;46359;290;2023-10-13T04:31:21;2023-10-12T20:33:22;REQUESTED
4;bus Lats revolutionize;32785;53599;2023-10-12T23:36:13;2023-10-12T14:49:46;COMPLETED
5;Pierre PNG;32359;90315;2023-10-12T11:50:19;2023-10-13T04:58:57;CANCELED
6;global Representative;99705;14077;2023-10-13T04:19:46;2023-10-13T04:52:35;COMPLETED
7;Savings clear-thinking;1215;95117;2023-10-13T03:27:13;2023-10-12T23:08:46;RECEIVED
8;View;73500;63277;2023-10-12T10:03:02;2023-10-13T01:45:49;COMPLETED
9;RAM;78841;71744;2023-10-12T14:04:30;2023-10-12T16:41:47;REQUESTED
10;e-services compelling;52643;10387;2023-10-13T01:50:12;2023-10-12T16:24:01;COMPLETED
