id;qty_required;request_date;expected_date;status
1;31032;2023-10-12T11:59:39;2023-10-13T01:15:32;REQUESTED
2;64307;2023-10-13T03:37:31;2023-10-12T17:32:53;RECEIVED
3;62872;2023-10-13T01:14:50;2023-10-12T14:56:26;CANCELED
4;69041;2023-10-12T16:19:16;2023-10-12T17:55:04;COMPLETED
5;42716;2023-10-13T07:21:43;2023-10-12T23:16:44;RECEIVED
6;7832;2023-10-13T02:10:00;2023-10-13T03:08:09;COMPLETED
7;16782;2023-10-12T21:48:56;2023-10-12T23:01:22;COMPLETED
8;1884;2023-10-12T17:34:48;2023-10-13T05:18:08;COMPLETED
9;88732;2023-10-13T01:32:51;2023-10-12T19:03:11;APPROVED
10;28804;2023-10-12T12:41:19;2023-10-12T17:07:15;CANCELED
