id;order_date;quantity_sold;unit_price;gst_percentage;total_revenue;status
1;2023-10-13T08:47:50;12876;38854;71824;1370;ORDERED
2;2023-10-12T23:37:57;66626;62270;14054;99145;SHIPPED
3;2023-10-12T09:06:01;89554;68118;18897;49854;DELIVERED
4;2023-10-13T03:22:31;74215;53366;36285;43614;ORDERED
5;2023-10-12T13:17:42;69881;69991;51332;82400;DELIVERED
6;2023-10-12T16:46:03;9114;68374;74602;62175;DELIVERED
7;2023-10-13T04:46:27;70713;43404;13659;42826;SHIPPED
8;2023-10-12T15:17:21;73430;60928;52564;30937;DELIVERED
9;2023-10-12T12:16:18;52327;53220;15268;69197;DELIVERED
10;2023-10-12T21:37:57;61936;40717;25477;6371;ORDERED
